season,week,team,net,power_rank,off_rank,pass_off_rank,rush_off_rank,explosive_off_rank,def_rank,pass_def_rank,rush_def_rank,st_ppg,sos
2026,2,JAX,0.1694721187484613,1,6,3,13,3,3,3,3,3.550059398514005,-0.11028284318917074
2026,2,BUF,0.16383964084881328,2,1,1,7,1,13,13,13,3.831403810097273,0.10931286289693888
2026,2,NE,0.1527780842566884,3,4,4,9,29,11,11,11,1.288862112067653,0.13398064521211187
2026,2,SEA,0.13398064521211187,4,13,11,17,21,2,2,2,1.5379157803674461,0.1527780842566884
2026,2,LA,0.12639698209245842,5,8,12,3,26,9,9,9,0.09630871285802825,0.04350463300677361
2026,2,CHI,0.1184422825307648,6,2,2,1,6,19,19,19,4.934915832524758,-0.05947749560247593
2026,2,HOU,0.10931286289693888,7,18,18,20,8,1,1,1,3.365695903831581,0.16383964084881328
2026,2,PHI,0.0982700657527716,8,14,13,16,17,8,8,8,0.8757667553449965,-0.10497572663421995
2026,2,DET,0.07592620190139618,9,10,10,8,11,14,14,14,0.04855312183857925,-0.03017523118533167
2026,2,KC,0.07154956653624689,10,12,14,5,14,12,12,12,3.3800063982568513,0.05648739657655648
2026,2,BAL,0.06005879846020394,11,7,8,10,2,21,21,21,4.303506803954112,0.015430562761613401
2026,2,DEN,0.05648739657655648,12,21,22,11,31,6,6,6,3.4302215791645643,0.07154956653624689
2026,2,SF,0.04350463300677361,13,5,7,2,20,24,24,24,-0.8088892632774114,0.12639698209245842
2026,2,GB,0.0371962705599719,14,11,9,12,9,22,22,22,2.887565246293702,-0.01752583509307004
2026,2,IND,0.015430562761613401,15,15,20,6,13,16,16,16,3.556820404371083,0.06005879846020394
2026,2,LAC,0.008020027937762228,16,25,25,26,18,7,7,7,-4.991616350026835,-0.0660018784740065
2026,2,NYG,-0.0020003608366224723,17,9,6,14,7,25,25,25,0.8571004611385085,-0.022117639923208116
2026,2,MIN,-0.01752583509307004,18,29,28,29,28,4,4,4,2.5837860693861048,0.0371962705599719
2026,2,DAL,-0.022117639923208116,19,3,5,4,30,32,32,32,-1.5567529546816674,-0.0020003608366224723
2026,2,NO,-0.03017523118533167,20,28,27,27,10,10,10,10,-1.9348812653233507,0.07592620190139618
2026,2,PIT,-0.04429698291674793,21,22,21,21,19,18,18,18,0.7783826861818608,-0.06907402978445992
2026,2,TB,-0.05024015998106139,22,23,26,15,24,17,17,17,5.243641838298857,-0.11639112399291224
2026,2,CAR,-0.05947749560247593,23,19,17,24,4,23,23,23,-0.3057553264123775,0.1184422825307648
2026,2,ARI,-0.0660018784740065,24,17,15,22,27,27,27,27,-4.12718920945953,0.008020027937762228
2026,2,ATL,-0.06907402978445992,25,26,29,23,15,15,15,15,-1.9183063214403466,-0.04429698291674793
2026,2,WAS,-0.10497572663421995,26,16,16,19,22,30,30,30,0.14534686820274015,0.0982700657527716
2026,2,CLE,-0.11028284318917074,27,32,32,31,23,5,5,5,6.752623334451458,0.1694721187484613
2026,2,CIN,-0.11639112399291224,28,20,19,18,5,29,29,29,5.558169170949692,-0.05024015998106139
2026,2,MIA,-0.12774141952526202,29,24,24,25,16,26,26,26,-1.0762763912448736,-0.20711412395145468
2026,2,NYJ,-0.20098235065249803,30,27,23,28,12,31,31,31,3.951992834099068,-0.23821802494291308
2026,2,LV,-0.20711412395145468,31,31,31,32,25,20,20,20,5.731017651202432,-0.12774141952526202
2026,2,TEN,-0.23821802494291308,32,30,30,30,32,28,28,28,-4.883628617620276,-0.20098235065249803
