snapshot,season,week,team,name,pos,status,practice,source
2026-09-02,2026,,MIN,Jacob Thomas,DB,Questionable,,sleeper
2026-09-02,2026,,SF,Mykel Williams,DL,PUP,,sleeper
2026-09-02,2026,,SF,Jacob Cowing,WR,Questionable,,sleeper
2026-09-02,2026,,ATL,JD Bertrand,LB,IR,,sleeper
2026-09-02,2026,,HOU,Marte Mapu,DB,Questionable,,sleeper
2026-09-02,2026,,JAX,Wyatt Milum,OL,Questionable,,sleeper
2026-09-02,2026,,BAL,Adam Randall,RB,IR,,sleeper
2026-09-02,2026,,SF,Nate Hobbs,CB,IR,,sleeper
2026-09-02,2026,,BAL,Jay Higgins,LB,Questionable,,sleeper
2026-09-02,2026,,TB,Damarion Williams,DB,IR,,sleeper
2026-09-02,2026,,SF,Andrew Farmer,LB,IR,,sleeper
2026-09-02,2026,,LAR,Duplicate Player,DE,Out,,sleeper
2026-09-02,2026,,BAL,Teddye Buchanan,LB,Questionable,,sleeper
2026-09-02,2026,,DET,Cade Mays,OL,IR,,sleeper
2026-09-02,2026,,NYJ,VJ Payne,DB,IR,,sleeper
2026-09-02,2026,,ATL,Anterio Thompson,DT,PUP,,sleeper
2026-09-02,2026,,BAL,Nnamdi Madubuike,DT,Questionable,,sleeper
2026-09-02,2026,,ARI,Dadrion Taylor-Demerson,DB,Questionable,,sleeper
2026-09-02,2026,,ATL,Trey Sermon,RB,IR,,sleeper
2026-09-02,2026,,HOU,Dominique Robinson,DL,Questionable,,sleeper
2026-09-02,2026,,PHI,Johnny Wilson,WR,IR,,sleeper
2026-09-02,2026,,BUF,Khalil Shakir,WR,Questionable,,sleeper
2026-09-02,2026,,MIA,Kenneth Grant,DL,IR,,sleeper
2026-09-02,2026,,CLE,Travis Bell,DL,IR,,sleeper
2026-09-02,2026,,LV,Corey Rucker,WR,IR,,sleeper
2026-09-02,2026,,HOU,M.J. Stewart,DB,PUP,,sleeper
2026-09-02,2026,,CAR,Akayleb Evans,DB,Questionable,,sleeper
2026-09-02,2026,,LV,Justin Pickett,G,IR,,sleeper
2026-09-02,2026,,CLE,Kalia Davis,DL,IR,,sleeper
2026-09-02,2026,,WAS,Rachaad White,RB,Questionable,,sleeper
2026-09-02,2026,,PHI,Micah Morris,G,Questionable,,sleeper
2026-09-02,2026,,DET,Brian Branch,DB,PUP,,sleeper
2026-09-02,2026,,NO,Chris Rumph,LB,Questionable,,sleeper
2026-09-02,2026,,JAX,Zach Durfee,DE,IR,,sleeper
2026-09-02,2026,,LAC,Branson Taylor,OL,IR,,sleeper
2026-09-02,2026,,CIN,Ja'Sir Taylor,DB,IR,,sleeper
2026-09-02,2026,,CAR,Taylor Moton,T,PUP,,sleeper
2026-09-02,2026,,GB,Collin Oliver,DE,IR,,sleeper
2026-09-02,2026,,NYG,Greg Newsome,CB,Questionable,,sleeper
