team,zone_rate,man_rate,snaps,n_sources,zone_spread,confidence,sources,zone_sharpfootball,man_sharpfootball
ARI,0.8820000000000001,0.039,,1,,Single source,sharpfootball,0.882,0.039
ATL,0.7190000000000001,0.17200000000000001,,1,,Single source,sharpfootball,0.7190000000000001,0.172
BAL,0.774,0.17,,1,,Single source,sharpfootball,0.774,0.17
BUF,0.767,0.13699999999999998,,1,,Single source,sharpfootball,0.767,0.13699999999999998
CAR,0.871,0.057,,1,,Single source,sharpfootball,0.871,0.057
CHI,0.5479999999999999,0.40299999999999997,,1,,Single source,sharpfootball,0.5479999999999999,0.40299999999999997
CIN,0.615,0.26899999999999996,,1,,Single source,sharpfootball,0.615,0.26899999999999996
CLE,0.732,0.21399999999999997,,1,,Single source,sharpfootball,0.732,0.214
DAL,0.721,0.147,,1,,Single source,sharpfootball,0.721,0.147
DEN,0.0,0.0,,1,,Single source,sharpfootball,0.0,0.0
DET,0.721,0.221,,1,,Single source,sharpfootball,0.721,0.221
GB,0.82,0.08199999999999999,,1,,Single source,sharpfootball,0.82,0.08199999999999999
HOU,0.7879999999999999,0.17300000000000001,,1,,Single source,sharpfootball,0.7879999999999999,0.17300000000000001
IND,0.42200000000000004,0.469,,1,,Single source,sharpfootball,0.42200000000000004,0.469
JAX,0.7759999999999998,0.20399999999999996,,1,,Single source,sharpfootball,0.7759999999999999,0.204
KC,0.0,0.0,,1,,Single source,sharpfootball,0.0,0.0
LAC,0.75,0.153,,1,,Single source,sharpfootball,0.75,0.153
LAR,0.8440000000000001,0.094,,1,,Single source,sharpfootball,0.8440000000000001,0.094
LV,0.84,0.16,,1,,Single source,sharpfootball,0.84,0.16
MIA,0.701,0.22399999999999998,,1,,Single source,sharpfootball,0.701,0.22399999999999998
MIN,0.8809999999999999,0.015,,1,,Single source,sharpfootball,0.8809999999999999,0.015
NE,0.75,0.20800000000000002,,1,,Single source,sharpfootball,0.75,0.20800000000000002
NO,0.8629999999999999,0.013999999999999999,,1,,Single source,sharpfootball,0.863,0.013999999999999999
NYG,0.75,0.231,,1,,Single source,sharpfootball,0.75,0.231
NYJ,0.7759999999999998,0.20399999999999996,,1,,Single source,sharpfootball,0.7759999999999999,0.204
PHI,0.731,0.26899999999999996,,1,,Single source,sharpfootball,0.731,0.26899999999999996
PIT,1.0,0.0,,1,,Single source,sharpfootball,1.0,0.0
SEA,0.925,0.06,,1,,Single source,sharpfootball,0.925,0.06
SF,0.825,0.105,,1,,Single source,sharpfootball,0.825,0.105
TB,0.6509999999999999,0.302,,1,,Single source,sharpfootball,0.6509999999999999,0.302
TEN,0.825,0.111,,1,,Single source,sharpfootball,0.825,0.111
WAS,0.8490000000000001,0.094,,1,,Single source,sharpfootball,0.8490000000000001,0.094
