team,YPT Allowed WR,YPT Allowed TE,YPT Allowed RB,YPT Allowed Outside,YPT Allowed Slot
SEA,6.2,7.5,5.0,6.1,7.3
DEN,6.6,7.1,5.0,6.7,7.4
JAX,6.6,6.8,5.3,7.3,6.0
LAC,7.2,7.5,5.1,7.7,7.1
PHI,7.3,4.8,7.1,8.1,6.4
KC,7.3,8.0,5.8,8.3,5.9
BUF,7.4,6.6,4.6,8.6,6.4
CLE,7.4,7.4,5.1,8.3,6.6
HOU,7.5,6.3,5.9,7.8,8.0
NE,7.7,7.2,5.0,8.4,6.9
NO,7.7,7.0,5.7,8.1,7.8
CAR,7.8,8.9,5.2,7.9,8.3
TB,7.8,7.5,9.2,8.6,7.0
ARI,7.8,8.2,6.3,8.6,7.4
LAR,7.9,6.1,5.9,9.3,5.9
BAL,7.9,7.1,6.3,8.0,8.9
ATL,7.9,7.7,5.4,8.5,7.6
IND,7.9,8.4,4.3,7.9,8.8
GB,8.1,5.9,4.8,8.6,7.5
MIN,8.1,6.5,4.7,10.5,6.7
LV,8.1,6.8,5.0,8.5,8.5
PIT,8.2,7.8,5.4,8.0,9.5
DET,8.2,7.1,5.3,8.7,8.2
CIN,8.2,8.8,7.1,8.0,8.8
NYG,8.2,7.1,5.4,8.6,8.3
NYJ,8.2,7.4,7.3,7.9,8.9
MIA,8.2,8.0,6.6,8.5,8.3
SF,8.4,6.7,5.3,8.6,8.4
WAS,8.8,9.1,6.9,8.4,9.9
CHI,9.2,7.0,5.3,10.2,9.0
TEN,9.5,7.9,6.2,10.3,9.1
DAL,9.6,7.6,7.3,10.8,8.4
