team,Man Rate,Zone Rate,Middle Closed Rate,Middle Open Rate
IND,46.9,42.2,58.6,37.9
CHI,40.3,54.8,60.5,32.6
TB,30.2,65.1,70.3,27.0
CIN,26.9,61.5,50.0,38.9
PHI,26.9,73.1,55.3,44.7
NYG,23.1,75.0,36.1,63.9
MIA,22.4,70.1,67.7,29.0
DET,22.1,72.1,50.0,46.8
CLE,21.4,73.2,68.0,32.0
NE,20.8,75.0,44.4,55.6
JAX,20.4,77.6,41.9,54.8
NYJ,20.4,77.6,41.0,56.4
HOU,17.3,78.8,78.1,21.9
ATL,17.2,71.9,66.7,26.2
BAL,17.0,77.4,32.4,64.7
LV,16.0,84.0,59.5,40.5
LAC,15.3,75.0,35.9,59.0
DAL,14.7,72.1,58.8,35.3
BUF,13.7,76.7,38.1,61.9
TEN,11.1,82.5,50.0,46.2
SF,10.5,82.5,48.3,48.3
WAS,9.4,84.9,33.3,66.7
LAR,9.4,84.4,41.7,50.0
GB,8.2,82.0,20.0,76.7
SEA,6.0,92.5,26.2,71.4
CAR,5.7,87.1,57.9,36.8
ARI,3.9,88.2,20.0,71.4
MIN,1.5,88.1,30.4,58.7
NO,1.4,86.3,63.4,29.3
KC,0.0,0.0,0.0,0.0
PIT,0.0,100.0,46.2,53.8
DEN,0.0,0.0,0.0,0.0
