team,EPA/Play,Yards Per Play Allowed,Y/PL Last 5,Points Per Drive Allowed,Explosive Play Rate Allowed,Down Conversion Rate Allowed
KC,0.47,3.7,0.0,0.8,0.0,47.4
PIT,0.42,4.2,0.0,1.0,7.0,53.8
ATL,0.3,4.1,0.0,1.0,4.7,57.7
JAX,0.25,5.6,0.0,1.1,6.1,63.6
LV,0.21,5.2,0.0,1.2,10.0,59.1
SF,0.2,5.1,0.0,0.7,3.5,65.2
BAL,0.18,4.7,0.0,1.9,5.7,65.4
SEA,0.16,4.1,0.0,1.1,0.0,70.4
NYJ,0.15,4.0,0.0,1.1,0.0,57.9
CIN,0.15,5.4,0.0,2.2,3.8,76.0
MIN,0.14,6.3,0.0,1.8,10.4,65.5
ARI,0.1,5.3,0.0,1.4,3.9,68.0
NE,0.08,5.9,0.0,1.3,6.3,61.9
PHI,0.05,4.4,0.0,1.8,1.5,69.0
TB,0.04,5.6,0.0,2.9,4.8,80.6
WAS,0.02,6.0,0.0,2.0,9.4,55.6
TEN,0.02,5.8,0.0,2.1,6.3,70.4
MIA,0.01,4.3,0.0,2.5,1.5,75.0
NO,-0.01,5.1,0.0,2.2,2.7,74.3
DET,-0.03,5.5,0.0,2.1,7.0,74.4
DEN,-0.04,5.9,0.0,2.6,6.0,69.2
LAC,-0.07,5.5,0.0,2.4,2.8,74.2
BUF,-0.11,5.2,0.0,2.8,5.5,78.1
GB,-0.11,3.9,0.0,3.0,3.3,72.0
LAR,-0.13,5.9,0.0,3.0,1.6,79.3
CHI,-0.13,7.7,0.0,2.9,9.7,74.2
IND,-0.14,7.9,0.0,3.2,7.8,76.7
NYG,-0.25,4.7,0.0,2.9,0.0,87.0
CLE,-0.28,6.4,0.0,3.8,7.1,85.2
HOU,-0.28,7.9,0.0,3.0,11.5,74.1
DAL,-0.29,5.8,0.0,4.0,1.5,93.3
CAR,-0.35,7.9,0.0,4.2,11.4,81.3
