team,Blitz Rate,Light Box Rate,Heavy Box Rate,Sub Package Rate
MIN,48.0,26.6,36.9,43.0
ATL,33.9,40.8,27.6,67.0
DEN,31.9,43.8,22.4,71.0
KC,31.4,42.6,25.8,65.0
MIA,31.0,44.3,29.7,63.0
TB,30.7,36.5,30.3,62.0
NYG,29.8,48.1,23.9,71.0
PIT,29.6,41.8,27.5,61.0
CHI,28.2,40.7,26.9,85.0
DAL,28.2,45.3,24.9,69.0
CLE,27.8,32.9,35.2,60.0
IND,27.7,42.7,24.8,80.0
NE,27.2,48.1,22.4,73.0
NYJ,27.2,36.7,34.4,68.0
CAR,26.6,48.7,21.4,72.0
WAS,26.6,40.8,24.6,70.0
JAX,25.8,49.9,19.0,74.0
NO,24.9,42.3,28.0,62.0
ARI,23.9,41.2,28.9,57.0
DET,23.7,41.4,33.7,34.0
BAL,23.2,44.4,24.8,87.0
HOU,21.9,48.0,21.5,73.0
SF,21.7,53.3,19.9,81.0
SEA,21.7,54.4,16.9,92.0
LV,21.7,37.1,35.4,42.0
BUF,21.1,42.9,24.9,77.0
GB,21.0,44.6,23.3,62.0
TEN,20.8,44.5,26.5,70.0
LAC,18.9,55.1,18.9,78.0
PHI,18.5,60.1,14.7,75.0
LAR,18.1,56.1,18.6,74.0
CIN,17.1,43.8,25.5,70.0
