team,EPA/Play,Yards Per Play,Y/PL Last 5,Points Per Drive,Explosive Play Rate,Down Conversion Rate
LAR,0.13,6.2,6.7,2.8,7.7,78.8
BUF,0.12,5.9,5.7,2.6,7.1,78.8
NE,0.12,6.2,7.0,2.6,8.1,77.3
GB,0.1,5.6,5.6,2.4,6.3,75.4
DAL,0.09,5.9,5.7,2.6,6.2,76.5
DET,0.08,6.0,5.6,2.5,7.5,73.7
IND,0.07,5.8,4.6,2.7,5.3,75.7
SF,0.06,5.5,5.8,2.5,5.1,77.8
CHI,0.04,5.7,5.8,2.3,6.4,74.1
NYG,0.03,5.2,5.0,2.2,5.7,73.4
BAL,0.03,5.8,6.3,2.3,7.0,72.2
DEN,0.03,5.3,5.2,2.1,5.3,71.1
KC,0.02,5.1,3.5,2.1,5.2,72.7
JAX,0.01,5.2,5.8,2.4,6.0,73.8
PIT,0.01,5.3,5.7,2.1,5.3,70.6
WAS,0.0,5.5,5.2,2.1,5.2,73.0
CIN,0.0,5.3,5.6,2.2,5.2,73.7
SEA,0.0,5.9,5.6,2.3,7.4,71.9
PHI,0.0,5.2,5.2,2.0,5.0,70.8
TB,0.0,5.1,5.2,2.0,6.0,71.3
ARI,-0.01,5.2,5.2,2.0,5.3,72.0
ATL,-0.02,5.4,5.2,1.9,5.3,70.8
LAC,-0.04,5.2,4.7,2.1,5.4,71.8
CAR,-0.04,5.0,4.9,1.8,5.1,71.3
HOU,-0.04,5.1,5.2,2.0,5.1,68.7
MIA,-0.04,5.4,5.5,1.9,6.2,69.2
NO,-0.08,5.0,5.7,1.6,3.5,68.9
MIN,-0.11,4.9,4.9,1.8,4.8,68.1
NYJ,-0.15,4.4,3.8,1.5,4.0,64.2
TEN,-0.16,4.4,4.9,1.4,5.1,63.3
LV,-0.17,4.4,4.1,1.3,4.4,63.1
CLE,-0.19,4.3,4.8,1.3,4.0,61.7
