team,#,11,12,13,21,22,2+ TE,2+ RB,3+ WR,Plays
TB,1.0,8443,7.84,,7.84,–,7.84,7.84,8443,51
IND,2.0,7540,2111.0,3.82,,–,2513.0,,7540,53
DAL,3.0,7539,7.74,5.83,7.74,–,137.0,7.74,7539,52
PHI,4.0,7538,2412.0,2.01,,–,2513.0,,7538,51
TEN,5.0,7336,147.0,,2.01,–,147.0,2.01,8441,49
WAS,6.0,7248,1812.0,9.06,,–,2718.0,,7349,67
ARI,7.0,7048,8.76,1611.0,5.84,–,2517.0,5.84,6847,69
CLE,8.0,6934,189.0,,8.24,4.1%2,2211.0,126.0,6934,49
MIA,9.0,6834,2.01,,3015.0,–,2.01,3015.0,6834,50
CAR,10.0,6842,3220.0,,,–,3220.0,,6842,62
NO,11.0,6757,2219.0,5.95,,4.7%4,3328.0,4.74,6757,85
DEN,12.0,6329,157.0,6.53,4.32,4.3%2,2612.0,8.74,7032,46
DET,13.0,6346,2720.0,6.85,2.72,–,3425.0,2.72,6245,73
CIN,14.0,6339,3220.0,3.22,1.61,–,3522.0,1.61,6339,62
PIT,15.0,6237,2817.0,1.71,5.03,3.3%2,3320.0,8.35,6237,60
HOU,16.0,6245,2115.0,1511.0,,–,3727.0,,5943,73
NE,17.0,6040,2215.0,,9.06,9.0%6,3121.0,1812.0,6040,67
LAR,18.0,5732,5.43,3821.0,,–,4324.0,,5732,56
KC,19.0,5534,3421.0,8.15,3.22,–,4226.0,3.22,5333,62
CHI,20.0,5438,3021.0,1611.0,,–,4632.0,,5438,70
GB,21.0,5436,3121.0,1510.0,,–,4631.0,,4832,67
ATL,22.0,5129,3721.0,116.0,1.81,–,4727.0,1.81,5129,57
BUF,23.0,4724,7.84,3920.0,2.01,–,5126.0,2.01,4925,51
NYJ,24.0,4728,2515.0,1811.0,,8.3%5,5332.0,8.35,4728,60
BAL,25.0,4326,4527.0,127.0,,–,5734.0,,4326,60
MIN,26.0,4325,2112.0,,2213.0,14%8,3420.0,3621.0,4325,58
SEA,27.0,4320,2612.0,,3014.0,2.1%1,2813.0,3215.0,4320,47
JAX,28.0,4222,4524.0,137.0,,–,5831.0,,4222,53
LAC,29.0,4121,189.0,3.92,2412.0,7.8%4,2915.0,3518.0,4724,51
NYG,30.0,3422,128.0,3.12,2013.0,20%13,3523.0,5133.0,4529,65
LV,31.0,3120,1711.0,,3824.0,14%9,3120.0,5233.0,3120,64
SF,32.0,2818,1912.0,,4227.0,9.4%6,3019.0,5233.0,3019,64
