team,Motion Rate,Play Action Rate,AirYards/Att,Shotgun Rate,NoHuddle Rate
LAR,62.8,21.3,9.1,39.9,6.4
CHI,60.6,19.9,8.6,51.7,5.1
IND,57.6,19.0,8.0,71.4,5.2
ARI,43.9,18.3,7.2,71.6,12.2
MIA,67.5,18.0,7.0,71.1,3.7
BUF,57.1,17.7,7.3,48.9,6.0
DEN,40.4,17.4,7.3,64.3,12.2
WAS,49.3,17.3,8.5,86.9,60.0
DAL,56.6,17.1,8.1,61.6,9.4
DET,52.2,16.8,6.4,51.0,6.3
LV,48.3,16.5,6.2,65.7,8.9
MIN,48.4,16.4,7.8,55.2,7.4
TEN,43.3,15.9,7.0,72.4,10.3
LAC,50.6,15.7,8.0,70.3,4.1
KC,49.5,15.3,7.8,80.0,2.7
NE,50.0,14.8,9.2,53.5,2.4
HOU,54.0,14.8,8.2,61.1,3.7
GB,59.0,14.8,8.8,61.8,8.5
CAR,50.2,14.6,6.7,65.9,6.0
JAX,60.6,14.6,8.7,59.5,7.0
SF,66.8,14.6,7.5,53.0,3.8
SEA,54.1,14.5,7.8,45.2,7.6
NYG,38.7,14.2,8.5,76.5,20.8
CLE,50.6,14.2,6.8,67.2,9.0
PHI,44.0,13.7,9.0,76.3,18.5
BAL,52.1,13.6,8.1,63.7,3.2
PIT,52.1,13.1,6.0,65.8,11.3
TB,58.9,12.8,8.1,64.7,6.3
NO,62.5,12.7,8.1,78.0,22.8
NYJ,58.7,12.4,6.9,73.2,9.9
ATL,67.2,12.0,7.7,79.7,11.1
CIN,50.1,11.2,7.4,81.6,2.9
