team,Rank,Play Clock Used,Neutral,Neutral Pass Rate,Gear Change,No Huddle,Plays/Game,Plays/Drive,Time of Possession,Plays
NO,1,29.11,29.0,65.8,-1.14,22,85.0,6.07,31.6,85
CAR,2,29.79,30.0,66.7,1.43,8,62.0,4.77,22.3,62
LAR,3,27.66,30.22,44.4,3.08,12,56.0,6.22,22.4,56
DAL,4,30.73,30.62,58.8,0.26,10,52.0,7.43,23.0,52
LAC,5,31.05,31.24,55.9,1.38,2,51.0,5.1,22.5,51
CHI,6,32.13,31.31,54.2,—,6,70.0,5.0,34.0,70
SF,7,32.1,31.56,59.6,—,0,64.0,7.11,33.8,64
DET,8,31.4,31.7,57.4,—,1,73.0,5.21,36.5,73
GB,9,30.77,31.72,59.0,—,15,67.0,5.58,27.0,67
ARI,10,31.88,31.84,59.6,—,6,69.0,6.9,35.6,69
LV,11,31.83,31.95,46.8,—,2,64.0,6.4,33.0,64
NE,12,33.04,32.34,56.1,—,0,67.0,7.44,34.3,67
BUF,13,32.7,32.57,54.8,—,2,51.0,4.64,23.1,51
KC,14,33.3,32.64,53.3,—,0,64.0,5.33,32.9,64
SEA,15,33.27,32.8,55.2,—,2,47.0,5.22,24.5,47
HOU,16,32.46,32.95,46.8,—,8,73.0,6.64,36.3,73
WAS,17,33.27,33.09,57.8,0.5,12,67.0,5.58,32.8,67
JAX,18,33.7,33.13,59.3,—,8,53.0,6.62,32.0,53
PIT,19,33.15,33.13,73.2,—,7,61.0,4.69,24.1,61
ATL,20,33.19,33.29,46.5,0.33,4,57.0,4.38,31.1,57
NYJ,21,33.88,33.85,44.2,—,2,60.0,5.45,34.9,60
PHI,22,31.89,34.0,63.2,—,16,51.0,4.64,25.6,51
CIN,23,34.12,34.17,64.9,—,5,62.0,6.89,28.1,62
MIA,24,33.24,34.24,62.1,1.74,2,50.0,4.55,25.1,50
MIN,25,34.78,34.67,56.8,-0.13,7,58.0,4.83,31.3,58
DEN,26,34.11,35.74,67.6,—,7,46.0,4.18,25.7,46
NYG,27,36.16,36.24,48.6,—,2,65.0,9.29,31.3,65
BAL,28,34.17,,54.2,—,2,60.0,4.62,32.0,60
CLE,29,32.24,,,—,4,49.0,5.44,24.6,49
IND,30,32.23,,,—,13,53.0,4.42,24.7,53
TB,31,33.32,,65.2,—,10,51.0,6.38,28.5,51
TEN,32,28.57,,78.3,—,22,49.0,5.44,21.1,49
